country_code,country_name,geo_type,destination,link
IN,India,city,Nainital,https://luxuryescapes.com/search?destinationName=Nainital&destinationId=le_72e2d71ab45995960dc8c986a0182731&adults=2&children=none&pages=2
IT,Italy,province_state,Province of Palermo,https://luxuryescapes.com/search?destinationName=Province+of+Palermo&destinationId=le_1c30d868c2f659e538930932e4b43503&adults=2&children=none&pages=2
TH,Thailand,city,Chiang Rai,https://luxuryescapes.com/search?destinationName=Chiang+Rai&destinationId=le_862f8a93dd2a5dffd8e708d49dbdb969&adults=2&children=none&pages=2
IN,India,city,Kochi,https://luxuryescapes.com/search?destinationName=Kochi&destinationId=le_b302d4058e7112bdb68873b187e272c5&adults=2&children=none&pages=2
MY,Malaysia,province_state,Federal Territory of Kuala Lumpur,https://luxuryescapes.com/search?destinationName=Federal+Territory+of+Kuala+Lumpur&destinationId=le_c3d36eac4c0cb2dd79ad8aafca4bb157&adults=2&children=none&pages=2
NZ,New Zealand,province_state,Canterbury,https://luxuryescapes.com/search?destinationName=Canterbury&destinationId=le_8bc42fbb2e30f9241129876ecdf45d6e&adults=2&children=none&pages=2
ES,Spain,city,Sitges,https://luxuryescapes.com/search?destinationName=Sitges&destinationId=le_f6a8dd1c954c8506aadc764cc32b895e&adults=2&children=none&pages=2
AU,Australia,neighborhood,Palm Beach,https://luxuryescapes.com/search?destinationName=Palm+Beach&destinationId=le_0df14e389d1efd15e8548355af52bca1&adults=2&children=none&pages=2
MY,Malaysia,city,Kuching,https://luxuryescapes.com/search?destinationName=Kuching&destinationId=le_8b8237493a7181e0f456ab6d07499be6&adults=2&children=none&pages=2
AU,Australia,city,Echuca,https://luxuryescapes.com/search?destinationName=Echuca&destinationId=le_f7ae58f86e00807a056e5c469a8e68db&adults=2&children=none&pages=2
TH,Thailand,city,Bophut,https://luxuryescapes.com/search?destinationName=Bophut&destinationId=le_af38850bd95342ef1271c337ff949ead&adults=2&children=none&pages=2
AU,Australia,city,Ulladulla,https://luxuryescapes.com/search?destinationName=Ulladulla&destinationId=le_2a15efb072c4176909a1421563524eec&adults=2&children=none&pages=2
US,United States,multi_city_vicinity,Atlantic City,https://luxuryescapes.com/search?destinationName=Atlantic+City&destinationId=le_02c6a53c16e52eb8180304f563e20abd&adults=2&children=none&pages=2
NZ,New Zealand,high_level_region,North Island,https://luxuryescapes.com/search?destinationName=North+Island&destinationId=le_f37a598cc74db62c75937da433a502a8&adults=2&children=none&pages=2
GB,United Kingdom,multi_city_vicinity,Belfast,https://luxuryescapes.com/search?destinationName=Belfast&destinationId=le_3c5abef25f7e2c8525750429f663be17&adults=2&children=none&pages=2
US,United States,city,Scottsdale,https://luxuryescapes.com/search?destinationName=Scottsdale&destinationId=le_bbfb937a66597d9646ad992009aee405&adults=2&children=none&pages=2
AU,Australia,neighborhood,Sydney Olympic Park,https://luxuryescapes.com/search?destinationName=Sydney+Olympic+Park&destinationId=le_5a54f01f7defc939e08fa126f3cc8895&adults=2&children=none&pages=2
MY,Malaysia,high_level_region,Penang Island,https://luxuryescapes.com/search?destinationName=Penang+Island&destinationId=le_23c4f1b3a297344b8622456f792b9362&adults=2&children=none&pages=2
